strategy,turns,index,square,type,mean_percentage,stdev_percentage,min_percentage,max_percentage
B,100,30,Go to Jail,Go to Jail,0.000000,0.000000,0.000000,0.000000
B,100,31,Pacific Avenue,Property,3.000000,1.490712,1.000000,5.000000
B,100,32,North Carolina Avenue,Property,3.200000,1.135292,2.000000,5.000000
B,100,33,Community Chest 3,Community Chest,2.100000,1.100505,1.000000,4.000000
B,100,34,Pennsylvania Avenue,Property,1.500000,1.433721,0.000000,4.000000
B,100,35,Short Line,Railroad,2.800000,1.398412,1.000000,6.000000
B,100,36,Chance 3,Chance,0.900000,0.316228,0.000000,1.000000
B,100,37,Park Place,Property,1.400000,1.173788,0.000000,4.000000
B,100,38,Luxury Tax,Tax,1.400000,1.173788,0.000000,3.000000
B,100,39,Boardwalk,Property,2.000000,1.333333,1.000000,5.000000
B,1000,0,GO,GO,2.790000,0.460555,2.000000,3.600000
B,1000,1,Mediterranean Avenue,Property,1.760000,0.485798,1.200000,2.900000
B,1000,2,Community Chest 1,Community Chest,1.750000,0.450309,1.200000,2.500000
B,1000,3,Baltic Avenue,Property,2.070000,0.383116,1.400000,2.600000
B,1000,4,Income Tax,Tax,2.210000,0.462961,1.600000,3.000000
B,1000,5,Reading Railroad,Railroad,2.680000,0.565292,1.800000,3.500000
B,1000,6,Oriental Avenue,Property,2.080000,0.373571,1.500000,2.700000
B,1000,7,Chance 1,Chance,0.900000,0.156347,0.700000,1.200000
B,1000,8,Vermont Avenue,Property,2.100000,0.326599,1.500000,2.600000
B,1000,9,Connecticut Avenue,Property,2.180000,0.458984,1.500000,3.000000
B,1000,10,Jail / Just Visiting,Jail,13.760000,1.427663,11.600000,16.300000
B,1000,11,St. Charles Place,Property,2.680000,0.595912,1.900000,3.500000
B,1000,12,Electric Company,Utility,2.500000,0.520683,1.500000,3.300000
B,1000,13,States Avenue,Property,2.260000,0.494862,1.400000,3.100000
B,1000,14,Virginia Avenue,Property,2.250000,0.488194,1.500000,3.000000
B,1000,15,Pennsylvania Railroad,Railroad,2.500000,0.336650,2.000000,3.100000
B,1000,16,St. James Place,Property,2.770000,0.473873,2.100000,3.300000
B,1000,17,Community Chest 2,Community Chest,2.290000,0.299815,1.800000,2.700000
B,1000,18,Tennessee Avenue,Property,3.100000,0.703957,2.000000,4.100000
B,1000,19,New York Avenue,Property,2.510000,0.540473,1.900000,3.500000
B,1000,20,Free Parking,Free Parking,2.940000,0.675278,1.800000,3.900000
B,1000,21,Kentucky Avenue,Property,2.530000,0.459589,1.800000,3.100000
B,1000,22,Chance 2,Chance,0.900000,0.221108,0.600000,1.200000
B,1000,23,Indiana Avenue,Property,2.640000,0.429987,2.000000,3.300000
B,1000,24,Illinois Avenue,Property,2.780000,0.391010,1.800000,3.300000
B,1000,25,B. & O. Railroad,Railroad,2.790000,0.458136,2.000000,3.500000
B,1000,26,Atlantic Avenue,Property,2.440000,0.353396,1.700000,3.000000
B,1000,27,Ventnor Avenue,Property,2.470000,0.555878,1.700000,3.300000
B,1000,28,Water Works,Utility,2.580000,0.496208,1.600000,3.400000
B,1000,29,Marvin Gardens,Property,2.400000,0.388730,1.600000,3.000000
B,1000,30,Go to Jail,Go to Jail,0.000000,0.000000,0.000000,0.000000
B,1000,31,Pacific Avenue,Property,2.330000,0.485455,1.400000,3.100000
B,1000,32,North Carolina Avenue,Property,2.370000,0.439823,1.800000,3.200000
B,1000,33,Community Chest 3,Community Chest,1.960000,0.527468,0.900000,2.600000
B,1000,34,Pennsylvania Avenue,Property,2.370000,0.543752,1.600000,3.200000
B,1000,35,Short Line,Railroad,2.120000,0.500666,1.300000,2.800000
B,1000,36,Chance 3,Chance,0.670000,0.221359,0.300000,1.000000
B,1000,37,Park Place,Property,2.040000,0.309839,1.500000,2.600000
B,1000,38,Luxury Tax,Tax,2.090000,0.420185,1.400000,2.700000
B,1000,39,Boardwalk,Property,2.440000,0.333999,1.900000,3.000000
B,10000,0,GO,GO,2.819000,0.111898,2.630000,3.020000
B,10000,1,Mediterranean Avenue,Property,1.852000,0.137340,1.630000,2.030000
B,10000,2,Community Chest 1,Community Chest,1.758000,0.091141,1.620000,1.940000
B,10000,3,Baltic Avenue,Property,1.899000,0.089250,1.770000,2.020000
B,10000,4,Income Tax,Tax,2.124000,0.099465,2.010000,2.320000
B,10000,5,Reading Railroad,Railroad,2.744000,0.134677,2.590000,2.980000
B,10000,6,Oriental Avenue,Property,2.130000,0.131318,1.860000,2.280000
B,10000,7,Chance 1,Chance,0.766000,0.092280,0.610000,0.880000
B,10000,8,Vermont Avenue,Property,2.138000,0.121911,1.950000,2.290000
B,10000,9,Connecticut Avenue,Property,2.160000,0.109240,1.940000,2.300000
B,10000,10,Jail / Just Visiting,Jail,13.844000,0.453730,13.310000,14.590000
B,10000,11,St. Charles Place,Property,2.476000,0.173346,2.190000,2.730000
B,10000,12,Electric Company,Utility,2.595000,0.177654,2.320000,2.930000
B,10000,13,States Avenue,Property,2.103000,0.161317,1.830000,2.370000
B,10000,14,Virginia Avenue,Property,2.391000,0.123419,2.160000,2.550000
B,10000,15,Pennsylvania Railroad,Railroad,2.564000,0.180752,2.400000,2.900000
B,10000,16,St. James Place,Property,2.757000,0.228378,2.380000,3.080000
B,10000,17,Community Chest 2,Community Chest,2.191000,0.150514,1.890000,2.400000
B,10000,18,Tennessee Avenue,Property,2.876000,0.224262,2.500000,3.280000
B,10000,19,New York Avenue,Property,2.772000,0.180234,2.490000,3.140000
B,10000,20,Free Parking,Free Parking,2.783000,0.119075,2.500000,2.920000
B,10000,21,Kentucky Avenue,Property,2.597000,0.187620,2.280000,2.940000
B,10000,22,Chance 2,Chance,1.009000,0.083327,0.900000,1.160000
B,10000,23,Indiana Avenue,Property,2.580000,0.145907,2.400000,2.830000
B,10000,24,Illinois Avenue,Property,2.925000,0.154794,2.600000,3.120000
B,10000,25,B. & O. Railroad,Railroad,2.835000,0.102659,2.680000,3.050000
B,10000,26,Atlantic Avenue,Property,2.399000,0.123868,2.220000,2.590000
B,10000,27,Ventnor Avenue,Property,2.405000,0.123940,2.220000,2.630000
B,10000,28,Water Works,Utility,2.532000,0.098635,2.390000,2.690000
B,10000,29,Marvin Gardens,Property,2.292000,0.159917,2.040000,2.570000
B,10000,30,Go to Jail,Go to Jail,0.000000,0.000000,0.000000,0.000000
B,10000,31,Pacific Avenue,Property,2.456000,0.112960,2.300000,2.710000
B,10000,32,North Carolina Avenue,Property,2.404000,0.090823,2.280000,2.560000
B,10000,33,Community Chest 3,Community Chest,2.111000,0.191279,1.870000,2.440000
B,10000,34,Pennsylvania Avenue,Property,2.353000,0.155138,2.100000,2.620000
B,10000,35,Short Line,Railroad,2.243000,0.143840,2.030000,2.460000
B,10000,36,Chance 3,Chance,0.793000,0.069929,0.690000,0.900000
B,10000,37,Park Place,Property,1.895000,0.159391,1.630000,2.120000
B,10000,38,Luxury Tax,Tax,2.077000,0.151881,1.760000,2.290000
B,10000,39,Boardwalk,Property,2.352000,0.124168,2.080000,2.470000
B,100000,0,GO,GO,2.890600,0.031767,2.859000,2.949000
B,100000,1,Mediterranean Avenue,Property,1.900300,0.066178,1.799000,1.998000
B,100000,2,Community Chest 1,Community Chest,1.761300,0.025025,1.721000,1.805000
B,100000,3,Baltic Avenue,Property,1.954900,0.047449,1.858000,2.037000
B,100000,4,Income Tax,Tax,2.109600,0.044670,2.049000,2.203000
B,100000,5,Reading Railroad,Railroad,2.681700,0.048076,2.625000,2.756000
B,100000,6,Oriental Avenue,Property,2.084200,0.038238,2.000000,2.131000
B,100000,7,Chance 1,Chance,0.772200,0.026653,0.723000,0.815000
